Name,District_x,Population,Latitude,Longitude,Status,District_y,PopulationCensus1980-01-01,PopulationCensus1990-01-01,PopulationCensus2001-02-01,PopulationCensus2011-10-01,PopulationEstimate2019-01-01
Kisszállás,"Hungary, Bács-Kiskun","populated placepopulation 2,846",N 46° 16' 48'',E 19° 29' 22'',Village,Kiskunhalas,"3,534","3,073","2,875","2,480","2,382"
Kömpöc,"Hungary, Bács-Kiskun",populated place,N 46° 27' 48'',E 19° 52' 0'',Village,Kiskunmajsa,990,855,824,705,655
Kunadacs,"Hungary, Bács-Kiskun",populated place,N 46° 57' 20'',E 19° 17' 21'',Village,Kunszentmiklós,"1,678","1,602","1,757","1,499","1,451"
Kunbaja,"Hungary, Bács-Kiskun",populated place,N 46° 5' 3'',E 19° 25' 15'',Village,Bácsalmás,"2,188","1,976","1,756","1,552","1,454"
Kunbaracs,"Hungary, Bács-Kiskun",populated place,N 46° 59' 20'',E 19° 24' 11'',Village,Kecskemét,798,683,678,613,611
Kunfehértó,"Hungary, Bács-Kiskun","populated placepopulation 2,281",N 46° 21' 39'',E 19° 24' 52'',Village,Kiskunhalas,"2,454","2,381","2,288","2,156","2,083"
Kunpeszér,"Hungary, Bács-Kiskun",populated place,N 47° 3' 31'',E 19° 16' 33'',Village,Kunszentmiklós,699,666,693,680,684
Kunszállás,"Hungary, Bács-Kiskun",populated place,N 46° 45' 45'',E 19° 45' 13'',Village,Kecskemét,"1,659","1,655","1,694","1,665","1,667"
Kunszentmiklós,"Hungary, Bács-Kiskun","seat of a second-order administrative divisionpopulation 8,976",N 47° 1' 37'',E 19° 7' 32'',Town,Kunszentmiklós,"8,432","8,625","9,103","8,561","8,191"
Ladánybene,"Hungary, Bács-Kiskun",populated place,N 47° 2' 3'',E 19° 27' 21'',Village,Kecskemét,"1,654","1,647","1,716","1,620","1,603"
Lajosmizse,"Hungary, Bács-Kiskun","populated placepopulation 11,034",N 47° 1' 16'',E 19° 33' 42'',Town,Kecskemét,"11,468","11,000","11,034","11,050","11,317"
Lakitelek,"Hungary, Bács-Kiskun","populated placepopulation 4,435",N 46° 52' 33'',E 19° 59' 42'',Large Village,Tiszakécske,"4,545","4,452","4,453","4,449","4,628"
Madaras,"Hungary, Bács-Kiskun","populated placepopulation 3,246",N 46° 3' 31'',E 19° 15' 40'',Village,Bácsalmás,"3,927","3,315","3,278","2,936","2,598"
Mátételke,"Hungary, Bács-Kiskun",populated place,N 46° 9' 42'',E 19° 16' 49'',Village,Bácsalmás,876,734,643,468,473
Mélykút,"Hungary, Bács-Kiskun","populated placepopulation 5,766",N 46° 12' 54'',E 19° 22' 51'',Town,Jánoshalma,"6,905","6,137","5,786","5,200","4,686"
Miske,"Hungary, Bács-Kiskun",populated place,N 46° 26' 47'',E 19° 1' 59'',Village,Kalocsa,"2,192","1,953","1,867","1,711","1,575"
Móricgát,"Hungary, Bács-Kiskun",populated placepopulation 499,N 46° 37' 56'',E 19° 40' 12'',Village,Kiskunmajsa,949,725,593,457,368
Nagybaracska,"Hungary, Bács-Kiskun","populated placepopulation 2,445",N 46° 2' 32'',E 18° 54' 21'',Village,Baja,"3,016","2,669","2,475","2,263","2,245"
Nemesnádudvar,"Hungary, Bács-Kiskun","populated placepopulation 2,041",N 46° 20' 25'',E 19° 3' 4'',Village,Baja,"2,338","2,217","2,062","1,883","1,723"
Nyárlőrinc,"Hungary, Bács-Kiskun","populated placepopulation 2,384",N 46° 51' 36'',E 19° 52' 42'',Village,Kecskemét,"2,604","2,392","2,392","2,300","2,359"
Ordas,"Hungary, Bács-Kiskun",populated place,N 46° 38' 9'',E 18° 56' 46'',Village,Kalocsa,634,591,505,447,416
Öregcsertő,"Hungary, Bács-Kiskun",populated place,N 46° 31' 5'',E 19° 6' 55'',Village,Kalocsa,"1,213",991,976,807,727
Orgovány,"Hungary, Bács-Kiskun","populated placepopulation 3,472",N 46° 45' 3'',E 19° 28' 21'',Village,Kecskemét,"4,124","3,666","3,502","3,318","3,406"
Páhi,"Hungary, Bács-Kiskun",populated place,N 46° 42' 46'',E 19° 23' 12'',Village,Kiskőrös,"1,652","1,439","1,287","1,217","1,145"
Pálmonostora,"Hungary, Bács-Kiskun","populated placepopulation 2,052",N 46° 37' 27'',E 19° 57' 5'',Village,Kiskunfélegyháza,"2,466","2,181","2,068","1,849","1,788"
Petőfiszállás,"Hungary, Bács-Kiskun",populated place,N 46° 37' 18'',E 19° 51' 43'',Village,Kiskunfélegyháza,"2,071","1,810","1,707","1,498","1,402"
Pirtó,"Hungary, Bács-Kiskun",area,N 46° 31' 0'',E 19° 26' 0'',Village,Kiskunhalas,927,976,"1,011",946,888
Rém,"Hungary, Bács-Kiskun",populated place,N 46° 14' 50'',E 19° 8' 29'',Village,Jánoshalma,"1,550","1,494","1,394","1,320","1,202"
Solt,"Hungary, Bács-Kiskun",region,N 46° 50' 0'',E 19° 5' 0'',Town,Kalocsa,"7,178","6,893","7,013","7,019","6,102"
Soltszentimre,"Hungary, Bács-Kiskun",populated place,N 46° 46' 16'',E 19° 17' 13'',Village,Kiskőrös,"1,446","1,304","1,392","1,269","1,296"
Soltvadkert,"Hungary, Bács-Kiskun","populated placepopulation 7,695",N 46° 34' 44'',E 19° 23' 38'',Town,Kiskőrös,"7,684","7,612","7,679","7,309","7,259"
Sükösd,"Hungary, Bács-Kiskun","populated placepopulation 3,987",N 46° 16' 54'',E 18° 59' 42'',Large Village,Baja,"4,288","4,130","4,031","3,697","3,434"
Szabadszállás,"Hungary, Bács-Kiskun","populated placepopulation 6,605",N 46° 52' 32'',E 19° 13' 23'',Town,Kunszentmiklós,"7,373","6,858","6,827","6,093","6,083"
Szakmár,"Hungary, Bács-Kiskun",populated place,N 46° 33' 19'',E 19° 4' 31'',Village,Kalocsa,"1,836","1,545","1,416","1,205","1,220"
Szalkszentmárton,"Hungary, Bács-Kiskun","populated placepopulation 2,982",N 46° 58' 32'',E 19° 0' 42'',Village,Kunszentmiklós,"3,089","2,785","2,997","2,877","2,778"
Szank,"Hungary, Bács-Kiskun","populated placepopulation 2,506",N 46° 33' 25'',E 19° 39' 39'',Village,Kiskunmajsa,"2,672","2,649","2,488","2,388","2,238"
Szentkirály,"Hungary, Bács-Kiskun","populated placepopulation 1,965",N 46° 55' 8'',E 19° 55' 6'',Village,Tiszakécske,"2,158","1,973","2,032","1,911","1,857"
Szeremle,"Hungary, Bács-Kiskun",populated place,N 46° 8' 37'',E 18° 52' 52'',Village,Baja,"1,643","1,636","1,575","1,421","1,321"
Tabdi,"Hungary, Bács-Kiskun",populated place,N 46° 40' 55'',E 19° 19' 35'',Village,Kiskőrös,"1,381","1,227","1,195","1,070","1,011"
Tass,"Hungary, Bács-Kiskun","populated placepopulation 2,963",N 47° 1' 15'',E 19° 1' 47'',Village,Kunszentmiklós,"2,835","2,741","2,955","2,890","2,702"
Tataháza,"Hungary, Bács-Kiskun",populated place,N 46° 10' 26'',E 19° 18' 1'',Village,Bácsalmás,"1,696","1,576","1,476","1,261","1,148"
Tázlár,"Hungary, Bács-Kiskun","populated placepopulation 1,984",N 46° 32' 53'',E 19° 30' 51'',Village,Kiskőrös,"2,077","1,894","2,014","1,755","1,767"
Tiszaalpár,"Hungary, Bács-Kiskun","populated placepopulation 5,070",N 46° 48' 46'',E 19° 59' 54'',Large Village,Tiszakécske,"5,618","5,146","5,048","4,898","4,938"
Tiszakécske,"Hungary, Bács-Kiskun","seat of a second-order administrative divisionpopulation 11,745",N 46° 55' 57'',E 20° 6' 12'',Town,Tiszakécske,"12,150","11,649","11,771","11,430","12,064"
Tiszaug,"Hungary, Bács-Kiskun",populated place,N 46° 51' 19'',E 20° 3' 17'',Village,Tiszakécske,"1,084",908,903,894,965
Tompa,"Hungary, Bács-Kiskun","populated placepopulation 4,844",N 46° 12' 21'',E 19° 32' 20'',Town,Kiskunhalas,"5,112","4,711","4,828","4,267","4,286"
Újsolt,"Hungary, Bács-Kiskun",populated place,N 46° 52' 21'',E 19° 7' 14'',Village,Kalocsa,342,204,186,158,167
Újtelek,"Hungary, Bács-Kiskun",populated place,N 46° 35' 24'',E 19° 3' 31'',Village,Kalocsa,748,581,516,357,345
Uszód,"Hungary, Bács-Kiskun",populated place,N 46° 34' 12'',E 18° 54' 4'',Village,Kalocsa,"1,458","1,250","1,090","1,026",909
Városföld,"Hungary, Bács-Kiskun","populated placepopulation 2,248",N 46° 49' 0'',E 19° 45' 24'',Village,Kecskemét,"2,244","2,253","2,271","2,156","2,124"
Vaskút,"Hungary, Bács-Kiskun","populated placepopulation 3,613",N 46° 6' 28'',E 18° 59' 6'',Large Village,Baja,"4,064","3,827","3,603","3,415","3,266"
Zsana,"Hungary, Bács-Kiskun",populated place,N 46° 24' 21'',E 19° 40' 53'',Village,Kiskunhalas,"1,138",916,861,772,724
Abaliget,"Hungary, Baranya",populated place,N 46° 8' 33'',E 18° 7' 0'',Village,Pécs,578,628,658,598,647
Adorjás,"Hungary, Baranya",populated place,N 45° 51' 2'',E 18° 3' 46'',Village,Sellye,219,168,183,181,188
Ág,"Hungary, Baranya",populated place,N 46° 17' 46'',E 18° 12' 8'',Village,Sásd,238,181,197,177,178
Almamellék,"Hungary, Baranya",populated place,N 46° 9' 24'',E 17° 52' 26'',Village,Szigetvár,613,525,500,407,381
Almáskeresztúr,"Hungary, Baranya",populated place,N 46° 7' 11'',E 17° 53' 44'',Village,Szigetvár,173,120,98,76,75
Alsómocsolád,"Hungary, Baranya",populated place,N 46° 18' 51'',E 18° 14' 52'',Village,Sásd,451,380,323,311,273
Alsószentmárton,"Hungary, Baranya",populated place,N 45° 47' 22'',E 18° 18' 20'',Village,Siklós,908,890,"1,092","1,156","1,207"
Apátvarasd,"Hungary, Baranya",populated place,N 46° 11' 12'',E 18° 28' 49'',Village,Pécsvárad,183,156,133,124,112
Aranyosgadány,"Hungary, Baranya",populated place,N 46° 0' 22'',E 18° 7' 14'',Village,Pécs,345,263,367,355,323
Áta,"Hungary, Baranya",populated place,N 45° 56' 20'',E 18° 17' 54'',Village,Pécs,283,229,231,193,159
Babarc,"Hungary, Baranya",populated place,N 46° 0' 15'',E 18° 33' 6'',Village,Bóly,"1,034",866,791,750,723
Babarcszőlős,"Hungary, Baranya",populated place,N 45° 54' 0'',E 18° 8' 11'',Village,Siklós,167,169,156,117,78
Bakóca,"Hungary, Baranya",populated place,N 46° 12' 25'',E 18° 0' 2'',Village,Sásd,634,532,337,271,266
Bakonya,"Hungary, Baranya",populated place,N 46° 5' 6'',E 18° 4' 59'',Village,Pécs,453,363,416,335,336
Baksa,"Hungary, Baranya",populated place,N 45° 57' 13'',E 18° 5' 20'',Village,Sellye,619,730,761,770,767
Bánfa,"Hungary, Baranya",populated place,N 45° 59' 40'',E 17° 52' 45'',Village,Szigetvár,227,223,214,182,178
Bár,"Hungary, Baranya",populated place,N 46° 3' 11'',E 18° 42' 59'',Village,Mohács,801,713,606,566,539
Baranyahídvég,"Hungary, Baranya",populated place,N 45° 50' 47'',E 18° 1' 24'',Village,Sellye,260,208,234,188,165
Baranyajenő,"Hungary, Baranya",populated place,N 46° 16' 21'',E 18° 2' 41'',Village,Sásd,529,472,528,442,416
Baranyaszentgyörgy,"Hungary, Baranya",populated place,N 46° 14' 40'',E 18° 0' 50'',Village,Sásd,251,227,208,144,134
Basal,"Hungary, Baranya",populated place,N 46° 4' 24'',E 17° 47' 2'',Village,Szigetvár,200,205,189,175,159
Belvárdgyula,"Hungary, Baranya",populated place,N 45° 58' 22'',E 18° 25' 58'',Village,Bóly,527,479,424,412,365
Beremend,"Hungary, Baranya","populated placepopulation 2,775",N 45° 47' 27'',E 18° 25' 57'',Large Village,Siklós,"3,226","2,837","2,833","2,511","2,306"
Berkesd,"Hungary, Baranya",populated place,N 46° 4' 32'',E 18° 24' 31'',Village,Pécs,909,868,843,856,820
Besence,"Hungary, Baranya",populated place,N 45° 53' 44'',E 17° 57' 58'',Village,Sellye,152,154,143,113,102
Bezedek,"Hungary, Baranya",populated place,N 45° 51' 53'',E 18° 35' 11'',Village,Mohács,358,331,283,232,201
Bicsérd,"Hungary, Baranya",populated place,N 46° 1' 22'',E 18° 4' 52'',Village,Szentlőrinc,972,872,983,"1,031","1,000"
Bikal,"Hungary, Baranya",populated place,N 46° 19' 51'',E 18° 16' 58'',Village,Komló,967,948,885,763,697
Birján,"Hungary, Baranya",populated place,N 45° 59' 52'',E 18° 22' 30'',Village,Pécs,365,341,440,520,520
Bisse,"Hungary, Baranya",populated place,N 45° 54' 33'',E 18° 15' 34'',Village,Siklós,315,260,242,232,198
Boda,"Hungary, Baranya",populated place,N 46° 4' 50'',E 18° 2' 56'',Village,Szentlőrinc,515,417,416,422,388
Bodolyabér,"Hungary, Baranya",populated place,N 46° 12' 5'',E 18° 6' 40'',Village,Komló,393,318,307,235,199
Bogád,"Hungary, Baranya",populated place,N 46° 5' 14'',E 18° 19' 23'',Village,Pécs,591,560,715,"1,071","1,021"
Bogádmindszent,"Hungary, Baranya",populated place,N 45° 54' 25'',E 18° 2' 26'',Village,Sellye,473,405,426,418,414
Bogdása,"Hungary, Baranya",populated place,N 45° 52' 32'',E 17° 47' 24'',Village,Sellye,411,329,352,276,230
Boldogasszonyfa,"Hungary, Baranya",populated place,N 46° 11' 0'',E 17° 50' 16'',Village,Szigetvár,656,587,546,419,360
Bóly,"Hungary, Baranya","seat of a second-order administrative divisionpopulation 3,642",N 45° 58' 2'',E 18° 31' 6'',Town,Bóly,"3,768","3,748","3,911","3,957","3,824"
Borjád,"Hungary, Tolna",section of populated place,N 46° 30' 15'',E 18° 5' 23'',Village,Bóly,470,435,450,385,370
Bosta,"Hungary, Baranya",populated place,N 45° 57' 1'',E 18° 12' 38'',Village,Pécs,187,139,146,138,128
Botykapeterd,"Hungary, Baranya",populated place,N 46° 3' 1'',E 17° 51' 59'',Village,Szigetvár,427,363,396,323,332
Bükkösd,"Hungary, Baranya","populated placepopulation 1,132",N 46° 6' 27'',E 17° 59' 17'',Village,Szentlőrinc,"1,589","1,384","1,289","1,116","1,041"
Bürüs,"Hungary, Baranya",populated place,N 45° 57' 55'',E 17° 45' 36'',Village,Szigetvár,131,140,102,76,63
Csányoszró,"Hungary, Baranya",populated place,N 45° 52' 53'',E 17° 54' 39'',Village,Sellye,847,726,722,679,597
Csarnóta,"Hungary, Baranya",populated place,N 45° 53' 42'',E 18° 12' 59'',Village,Siklós,157,133,157,149,140
Csebény,"Hungary, Baranya",populated place,N 46° 11' 23'',E 17° 55' 56'',Village,Szigetvár,196,138,102,93,87
Cserdi,"Hungary, Baranya",populated place,N 46° 4' 59'',E 17° 59' 25'',Village,Szentlőrinc,439,290,352,386,368
Cserkút,"Hungary, Baranya",populated place,N 46° 4' 32'',E 18° 8' 6'',Village,Pécs,344,277,410,585,607
Csertő,"Hungary, Baranya",populated place,N 46° 5' 41'',E 17° 48' 21'',Village,Szigetvár,721,556,451,383,369
Csonkamindszent,"Hungary, Baranya",populated place,N 46° 3' 11'',E 17° 57' 56'',Village,Szentlőrinc,207,190,166,165,142
Cún,"Hungary, Hajdú-BiharBerettyóújfalui Járás","seat of a second-order administrative divisionpopulation 14,614",N 47° 13' 25'',E 21° 32' 11'',Village,Siklós,328,249,258,245,210
Dencsháza,"Hungary, Baranya",populated place,N 45° 59' 34'',E 17° 50' 9'',Village,Szigetvár,745,626,617,605,553
Dinnyeberki,"Hungary, Baranya",populated place,N 46° 5' 51'',E 17° 57' 23'',Village,Szentlőrinc,217,157,112,93,68
Diósviszló,"Hungary, Baranya",populated place,N 45° 52' 39'',E 18° 9' 57'',Village,Siklós,730,699,706,705,662
Drávacsehi,"Hungary, Baranya",populated place,N 45° 48' 46'',E 18° 10' 2'',Village,Siklós,236,203,250,199,164
Drávacsepely,"Hungary, Baranya",populated place,N 45° 49' 45'',E 18° 8' 19'',Village,Siklós,288,239,244,205,189
Drávafok,"Hungary, Baranya",populated place,N 45° 53' 4'',E 17° 45' 50'',Village,Sellye,615,564,512,485,491
Drávaiványi,"Hungary, Baranya",populated place,N 45° 50' 47'',E 17° 49' 1'',Village,Sellye,273,222,242,189,171
